Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Xe133 produced (at/m3)	Xe133 in grain (at/m3)	Xe133 in intragranular solution (at/m3)	Xe133 in intragranular bubbles (at/m3)	Xe133 decayed (at/m3)	Xe133 at grain boundary (at/m3)	Xe133 released (at/m3)	Xe133 R/B (/)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas swelling (/)	Intergranular bubble concentration (bub/m2)	Intergranular atoms per bubble (at/bub)	Intergranular vacancies per bubble (vac/bub)	Intergranular bubble radius (m)	Intergranular bubble area (m2)	Intergranular bubble volume (m3)	Intergranular fractional coverage (/)	Intergranular saturation fractional coverage (/)	Intergranular gas swelling (/)	Intergranular fractional intactness (/)	Burnup (MWd/kgUO2)	U235 (kg/m3)	U238 (kg/m3)	
0	1100	1e+19	0	5e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4e+13	0	0	0	0	0	0	0.5	0	1	0	7.43262e+26	2.372858e+28	
300	1100	1e+19	0	5e-06	2.592e+24	2.403153e+24	2.403153e+24	0	1.88847e+23	0	7.185672e+23	2.584402e+23	2.584402e+23	0	4.476551e+23	1.247189e+22	0	0	3.24e+23	3.003941e+23	3.003941e+23	0	2.360588e+22	0	0	1.323042e+24	0	0	3.896206e+13	9207.728	24627.02	1.355806e-08	3.388857e-16	1.76022e-24	0.01320368	0.5	4.114908e-05	1	0.355515	7.43262e+26	2.372858e+28	
600	1100	1e+19	0	5e-06	5.184e+24	4.734817e+24	4.185634e+24	5.491839e+23	4.491825e+23	0	1.437134e+24	3.545973e+23	3.136151e+23	4.098214e+22	1.064084e+24	1.84533e+22	0	0	6.48e+23	5.918522e+23	5.232042e+23	6.864799e+22	5.614782e+22	0	0	1.326283e+24	0	0	3.782577e+13	22563.32	93434.43	2.001898e-08	7.388253e-16	5.666304e-24	0.02794664	0.5	0.0001285994	1	0.7110301	7.43262e+26	2.372858e+28	
900	1100	1e+19	0	5e-06	7.776e+24	7.001761e+24	6.18788e+24	8.138816e+23	7.742385e+23	0	2.155702e+24	3.902193e+23	3.450225e+23	4.519681e+22	1.744143e+24	2.133918e+22	0	0	9.72e+23	8.752202e+23	7.73485e+23	1.017352e+23	9.677982e+22	0	0	1.326291e+24	1.65739e-10	2.529306e-05	3.649867e+13	40306.61	223879.7	2.602698e-08	1.248836e-15	1.245218e-23	0.04558086	0.5	0.0002726929	1	1.066545	7.43262e+26	2.372858e+28	
1200	1100	1e+19	0	5e-06	1.0368e+25	9.224651e+24	7.862976e+24	1.361674e+24	1.143349e+24	0	2.874269e+24	4.037252e+23	3.442816e+23	5.94436e+22	2.448192e+24	2.235142e+22	0	0	1.296e+24	1.153081e+24	9.82872e+23	1.702093e+23	1.429187e+23	0	0	9.766016e+23	2.092561e-10	3.748351e-05	3.506789e+13	61930.27	428041.7	3.173446e-08	1.856607e-15	2.257186e-23	0.06510731	0.5	0.0004749285	1	1.42206	7.43262e+26	2.372858e+28	
1500	1100	1e+19	0	5e-06	1.296e+25	1.139184e+25	1.006143e+25	1.330405e+24	1.56816e+24	0	3.592836e+24	4.084688e+23	3.608821e+23	4.758671e+22	3.161286e+24	2.308141e+22	0	0	1.62e+24	1.42398e+24	1.257679e+24	1.663007e+23	1.9602e+23	0	0	9.071064e+23	2.547017e-10	6.278302e-05	3.353836e+13	88799.68	727774.4	3.742753e-08	2.582499e-15	3.702947e-23	0.08661281	0.5	0.0007451448	1	1.777575	7.43262e+26	2.372858e+28	
1800	1100	1e+19	0	5e-06	1.5552e+25	1.351755e+25	1.200014e+25	1.517406e+24	2.034452e+24	0	4.311403e+24	4.102131e+23	3.642699e+23	4.594312e+22	3.877789e+24	2.34008e+22	0	0	1.944e+24	1.689694e+24	1.500018e+24	1.896757e+23	2.543065e+23	0	0	8.425774e+23	2.590442e-10	6.13508e-05	3.196286e+13	120869.2	1141329	4.310547e-08	3.425488e-15	5.656801e-23	0.1094884	0.5	0.001084845	1	2.13309	7.43262e+26	2.372858e+28	
2100	1100	1e+19	0	5e-06	1.8144e+25	1.560417e+25	1.396053e+25	1.643642e+24	2.53983e+24	0	5.02997e+24	4.108104e+23	3.676372e+23	4.317322e+22	4.595579e+24	2.35815e+22	0	0	2.268e+24	1.950521e+24	1.745066e+24	2.054553e+23	3.174788e+23	0	0	8.366844e+23	2.712966e-10	6.998155e-05	3.036887e+13	158803.5	1691619	4.881974e-08	4.393885e-15	8.217887e-23	0.1334373	0.5	0.001497408	1	2.488605	7.43262e+26	2.372858e+28	
2400	1100	1e+19	0	5e-06	2.0736e+25	1.765739e+25	1.579847e+25	1.858915e+24	3.078613e+24	0	5.748538e+24	4.110387e+23	3.678628e+23	4.317588e+22	5.313852e+24	2.364655e+22	0	0	2.592e+24	2.207173e+24	1.974809e+24	2.323644e+23	3.848267e+23	0	0	8.2065e+23	2.80424e-10	7.580399e-05	2.878082e+13	203101.1	2404275	5.45984e-08	5.495633e-15	1.149513e-22	0.1581688	0.5	0.001985035	1	2.84412	7.43262e+26	2.372858e+28	
2700	1100	1e+19	0	5e-06	2.3328e+25	1.967875e+25	1.763443e+25	2.044313e+24	3.649254e+24	0	6.467105e+24	4.111134e+23	3.684997e+23	4.26137e+22	6.032309e+24	2.368242e+22	0	0	2.916e+24	2.459843e+24	2.204304e+24	2.555391e+23	4.561568e+23	0	0	8.089854e+23	2.935667e-10	8.573333e-05	2.721237e+13	254612.1	3311570	6.048369e-08	6.744261e-15	1.562747e-22	0.1835273	0.5	0.002551563	1	3.199635	7.43262e+26	2.372858e+28	
3000	1100	1e+19	0	5e-06	2.592e+25	2.167045e+25	1.943591e+25	2.234542e+24	4.249551e+24	0	7.185672e+24	4.11136e+23	3.688338e+23	4.230216e+22	6.750834e+24	2.370153e+22	0	0	3.24e+24	2.708806e+24	2.429488e+24	2.793178e+23	5.311939e+23	0	0	7.926371e+23	3.050886e-10	9.428459e-05	2.567408e+13	314248.3	4452224	6.651136e-08	8.155478e-15	2.078076e-22	0.2093844	0.5	0.00320116	1	3.55515	7.43262e+26	2.372858e+28	
3300	1100	1e+19	0	5e-06	2.8512e+25	2.363376e+25	2.12305e+25	2.403258e+24	4.878239e+24	0	7.904239e+24	4.11133e+23	3.694152e+23	4.171779e+22	7.469386e+24	2.372022e+22	0	0	3.564e+24	2.95422e+24	2.653813e+24	3.004072e+23	6.097799e+23	0	0	7.786999e+23	3.161378e-10	0.0001030595	2.417361e+13	383117.3	5872972	7.271538e-08	9.747885e-15	2.715519e-22	0.2356416	0.5	0.003938634	1	3.910665	7.43262e+26	2.372858e+28	
3600	1100	1e+19	0	5e-06	3.1104e+25	2.557021e+25	2.300112e+25	2.569092e+24	5.533786e+24	0	8.622806e+24	4.111226e+23	3.699031e+23	4.121947e+22	8.187947e+24	2.373655e+22	0	0	3.888e+24	3.196277e+24	2.87514e+24	3.211365e+23	6.917233e+23	0	0	7.656789e+23	3.257289e-10	0.000110842	2.271739e+13	462446.2	7629222	7.912482e-08	1.154206e-14	3.498743e-22	0.2622054	0.5	0.004768939	1	4.26618	7.43262e+26	2.372858e+28	
3900	1100	1e+19	0	5e-06	3.3696e+25	2.748105e+25	2.475288e+25	2.728172e+24	6.214951e+24	0	9.341374e+24	4.111095e+23	3.703815e+23	4.072805e+22	8.906512e+24	2.375189e+22	0	0	4.212e+24	3.435131e+24	3.09411e+24	3.410215e+23	7.768688e+23	0	0	7.546374e+23	3.346726e-10	0.0001184916	2.131036e+13	553646.4	9786892	8.576683e-08	1.356115e-14	4.455864e-22	0.288993	0.5	0.005697365	1	4.621695	7.43262e+26	2.372858e+28	
